large corporation,14,31,16,16,10,3,4,49,35,47,21,54,9
small company,26,19,29,10,19,16,4,33,36,59,23,49,23
start up,13,6,4,13,3,1,0,17,11,45,15,30,13
,,,,,,,,,,,,,
start_work,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
large corporation,15,32,17,17,11,4,5,50,36,48,22,55,10
small company,27,20,30,11,20,17,5,34,37,60,24,50,24
start up,14,7,5,14,4,2,1,18,12,46,16,31,14
,56,59,52,42,35,23,11,102,85,154,62,136,48
,,,,,,,,,,,,,
start_work,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
large corporation,0.267857143,0.542372881,0.326923077,0.404761905,0.314285714,0.173913043,0.454545455,0.490196078,0.423529412,0.311688312,0.35483871,0.404411765,0.208333333
small company,0.482142857,0.338983051,0.576923077,0.261904762,0.571428571,0.739130435,0.454545455,0.333333333,0.435294118,0.38961039,0.387096774,0.367647059,0.5
start up,0.25,0.118644068,0.096153846,0.333333333,0.114285714,0.086956522,0.090909091,0.176470588,0.141176471,0.298701299,0.258064516,0.227941176,0.291666667
,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,
,,,,,,,,,,,,,
design_something ,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
tangibly,29,33,39,13,22,12,6,20,72,114,11,26,19
no touch  ,24,23,10,26,10,8,2,79,10,37,48,107,26
,53,56,49,39,32,20,8,99,82,151,59,133,45
,,,,,,,,,,,,,
design_something ,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
tangibly,0.547169811,0.589285714,0.795918367,0.333333333,0.6875,0.6,0.75,0.202020202,0.87804878,0.754966887,0.186440678,0.195488722,0.422222222
no touch  ,0.452830189,0.410714286,0.204081633,0.666666667,0.3125,0.4,0.25,0.797979798,0.12195122,0.245033113,0.813559322,0.804511278,0.577777778
