program,year,happy,professor,work_setting,work_outfit,analyze,gather_information,prefer,goals,develop,field_interest,team_responsible,start_work,design_something,work_partof,on_project,care_most,eavesdrop,working_with,leader,gender
Biomedical Engineering,1,Yes,"Mark Zuckerberg, Founder of Facebook",In a laboratory,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Write,Five years from now,Math,Research,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People,Yes,Female
Biomedical Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Write,A week from now,Life Science,Software Development,The Automobile,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,I choose not to specify
Biomedical Engineering,1,Yes,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Five years from now,Technology,Research,The Robot,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,No,Male
Biomedical Engineering,3,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Blue prints and design drawings,By talking to the people who use the system,Talk,One year from now,Life Science,Research,The Robot,Work for a small company,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,People,Yes,Female
Biomedical Engineering,2,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Extremely Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Today,Technology,Manufacturing,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,No,Female
Biomedical Engineering,1,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Test results,By analyzing the design and implementation of the system,Read,One year from now,Life Science,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People,No,Female
Biomedical Engineering,3,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Blue prints and design drawings,By analyzing the internal components of the system,Listen,One year from now,Technology,Research,The Robot,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Computers,No,Male
Biomedical Engineering,1,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Protective Clothing,Test results,By analyzing the design and implementation of the system,Listen,One year from now,Technology,Research,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,Yes,Female
Biomedical Engineering,1,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,One year from now,Technology,Research,Penicillin,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People,Yes,Female
Biomedical Engineering,1,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Test results,By analyzing the design and implementation of the system,Read,One year from now,Life Science,Research,The Robot,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People,Yes,Female
Biomedical Engineering,3,Yes,"Mark Zuckerberg, Founder of Facebook",In an office,Business Casual,Test results,By analyzing the internal components of the system,Read,A week from now,Technology,Software Development,The Robot,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Computers,No,Female
