program,year,happy,professor,work_setting,work_outfit,analyze,gather_information,prefer,goals,develop,field_interest,team_responsible,start_work,design_something,work_partof,on_project,care_most,eavesdrop,working_with,leader,gender
Civil Engineering,Alumni,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Talk,Five years from now,Physics,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,Yes,Male
Civil Engineering,Alumni,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Graphs and charts,By analyzing the design and implementation of the system,Read,Five years from now,Math,Research,The CN Tower,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,No,Male
Civil Engineering,3,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Graphs and charts,By talking to the people who use the system,Read,One year from now,Technology,Finance,The Automobile,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People,Yes,Male
Civil Engineering,Alumni,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Graphs and charts,By talking to the people who use the system,Listen,Five years from now,Technology,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Male
Civil Engineering,Alumni,Yes,"Warren Buffett, Billionaire American Business Men",In the outdoors,Business Casual,Blue prints and design drawings,By talking to the people who use the system,Listen,Five years from now,Technology,Construction,The CN Tower,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,Yes,Male
Civil Engineering,Alumni,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In an office,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Five years from now,Math,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,Yes,Female
Civil Engineering,3,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,One year from now,Technology,Construction,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,Yes,Female
Civil Engineering,3,Yes,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Blue prints and design drawings,By talking to the people who use the system,Listen,A week from now,Math,Manufacturing,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery,No,Female
Civil Engineering,Alumni,Yes,"David Suzuki, Environmental Activist",In an office,Extremely Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,One year from now,Technology,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Computers,No,Female
Civil Engineering,3,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Five years from now,Technology,Finance,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,Yes,Male
Civil Engineering,3,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Blue prints and design drawings,By analyzing the internal components of the system,Listen,Five years from now,Life Science,Finance,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Female
Civil Engineering,2,Yes,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Graphs and charts,By analyzing the design and implementation of the system,Listen,Five years from now,Technology,Research,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,3,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Graphs and charts,By analyzing the internal components of the system,Listen,Five years from now,Math,Research,The Automobile,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,Yes,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Graphs and charts,By talking to the people who use the system,Talk,A week from now,Technology,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People,Yes,Female
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Read,Today,Technology,Software Development,The Robot,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Female
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Graphs and charts,By analyzing the inputs and outputs of the system,Read,One year from now,Math,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,No,Male
Computer Engineering,3,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,One year from now,Technology,Software Development,Solar Panels,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,People,No,Male
Computer Engineering,3,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Extremely Casual,Graphs and charts,By analyzing the inputs and outputs of the system,Read,Five years from now,Math,Software Development,The Internet,Work in a start up,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People,No,Male
Computer Engineering,3,Yes,"Warren Buffett, Billionaire American Business Men",In the outdoors,Extremely Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,One year from now,Math,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,No,Male
Computer Engineering,3,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Listen,Five years from now,Technology,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Read,A week from now,Technology,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Computers,No,Male
Computer Engineering,3,Yes,"Mark Zuckerberg, Founder of Facebook",In an office,Business Casual,Graphs and charts,By analyzing the inputs and outputs of the system,Listen,One year from now,Physics,Software Development,The Internet,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Female
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Test results,By analyzing the inputs and outputs of the system,Talk,Five years from now,Math,Software Development,The Automobile,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Computers,No,Male
Computer Engineering,1,Yes,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Test results,By analyzing the inputs and outputs of the system,Listen,One year from now,Math,Software Development,The Robot,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Today,Technology,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Computers,No,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Five years from now,Technology,Software Development,The Internet,Work in a start up,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Computers,No,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Test results,By analyzing the internal components of the system,Talk,One year from now,Technology,Manufacturing,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Human Rights,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,1,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Extremely Casual,Graphs and charts,By analyzing the design and implementation of the system,Listen,One year from now,Math,Research,The Robot,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,Computers,Yes,Female
Computer Engineering,3,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Extremely Casual,Test results,By analyzing the design and implementation of the system,Listen,One year from now,Math,Software Development,Solar Panels,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People,Yes,Male
Computer Engineering,2,Yes,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Read,Five years from now,Technology,Software Development,The Internet,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,No,Male
Computer Engineering,4,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Test results,By analyzing the design and implementation of the system,Read,One year from now,Technology,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Human Rights,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Graphs and charts,By analyzing the inputs and outputs of the system,Write,Five years from now,Technology,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People,No,Male
Computer Engineering,Alumni,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Read,Five years from now,Technology,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Environment,A microchip that is smaller than usual but twice as powerful as before,Computers,No,Male
Computer Engineering,1,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Five years from now,Physics,Research,The Robot,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,1,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Blue prints and design drawings,By talking to the people who use the system,Listen,Today,Physics,Software Development,The Robot,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Computers,Yes,Female
Computer Engineering,2,Yes,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Listen,One year from now,Technology,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Test results,By analyzing the internal components of the system,Talk,One year from now,Physics,Research,The Robot,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Machinery,Yes,Male
Computer Engineering,2,Yes,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Graphs and charts,By analyzing the inputs and outputs of the system,Listen,One year from now,Technology,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Computers,No,Male
Computer Engineering,2,Yes,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Test results,By analyzing the design and implementation of the system,Write,Today,Technology,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Computers,Yes,Male
Computer Engineering,3,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Graphs and charts,By analyzing the design and implementation of the system,Read,A week from now,Technology,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,Computers,No,Female
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,One year from now,Technology,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Computers,Yes,Female
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Five years from now,Technology,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Write,One year from now,Technology,Software Development,The Robot,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,Computers,Yes,Male
Computer Engineering,2,Yes,"Mark Zuckerberg, Founder of Facebook",In an office,Business Casual,Graphs and charts,By analyzing the design and implementation of the system,Listen,Five years from now,Technology,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Female
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Test results,By analyzing the design and implementation of the system,Listen,Five years from now,Math,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Graphs and charts,By analyzing the internal components of the system,Listen,Five years from now,Technology,Software Development,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Five years from now,Technology,Software Development,The Robot,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Test results,By analyzing the design and implementation of the system,Listen,One year from now,Technology,Software Development,The Internet,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Computer Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Test results,By analyzing the design and implementation of the system,Listen,Today,Technology,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,Computers,Yes,Male
Computer Engineering,3,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Five years from now,Technology,Research,The Automobile,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,Computers,Yes,Male
Computer Engineering,2,Yes,"David Suzuki, Environmental Activist",In the outdoors,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Talk,A week from now,Math,Software Development,The Internet,Work in a start up,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,People,No,Male
Electrical Engineering,3,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Test results,By analyzing the design and implementation of the system,Talk,One year from now,Math,Research,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,Computers,Yes,Female
Electrical Engineering,2,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Read,Five years from now,Technology,Research,The Internet,Work in a start up,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Electrical Engineering,Alumni,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Blue prints and design drawings,By analyzing the internal components of the system,Listen,One year from now,Technology,Manufacturing,The Internet,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Computers,No,Male
Electrical Engineering,3,Yes,"Elon Musk, Founder of Tesla",In an office,Formal,Blue prints and design drawings,By analyzing the internal components of the system,Listen,One year from now,Technology,Construction,Solar Panels,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Male
Electrical Engineering,3,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,One year from now,Technology,Research,The Automobile,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,No,Male
Electrical Engineering,3,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Test results,By analyzing the internal components of the system,Listen,One year from now,Technology,Research,The Robot,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,Machinery,No,Female
Electrical Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Graphs and charts,By analyzing the inputs and outputs of the system,Talk,Today,Technology,Software Development,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Computers,Yes,Male
Electrical Engineering,2,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Graphs and charts,By analyzing the inputs and outputs of the system,Listen,A week from now,Technology,Software Development,The Robot,Work for a small company,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Computers,No,I choose not to specify
Electrical Engineering,3,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,One year from now,Technology,Construction,The CN Tower,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,No,Male
Electrical Engineering,2,Yes,"Warren Buffett, Billionaire American Business Men",In the outdoors,Extremely Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Today,Physics,Software Development,The Robot,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Computers,Yes,Male
Electrical Engineering,Alumni,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Extremely Casual,Test results,By talking to the people who use the system,Read,Five years from now,Technology,Research,Solar Panels,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery,No,Female
Electrical Engineering,Alumni,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,A week from now,Math,Software Development,The Internet,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Human Rights,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Electrical Engineering,1,Yes,"David Suzuki, Environmental Activist",In the outdoors,Extremely Casual,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Write,A week from now,Technology,Software Development,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,No,Male
Electrical Engineering,Alumni,Yes,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Blue prints and design drawings,By analyzing the internal components of the system,Talk,Five years from now,Technology,Software Development,The Robot,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,Computers,Yes,Male
Electrical Engineering,2,Yes,"Warren Buffett, Billionaire American Business Men",In an office,Business Casual,Graphs and charts,By talking to the people who use the system,Talk,One year from now,Technology,Finance,The Internet,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People,Yes,Female
Electrical Engineering,Alumni,Yes,"Warren Buffett, Billionaire American Business Men",In an office,Formal,Graphs and charts,By analyzing the design and implementation of the system,Listen,Five years from now,Math,Finance,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,No,Male
Electrical Engineering,1,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Test results,By analyzing the design and implementation of the system,Talk,Five years from now,Technology,Finance,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Male
Electrical Engineering,1,Yes,"Elon Musk, Founder of Tesla",In an office,Business Casual,Graphs and charts,By analyzing the design and implementation of the system,Listen,Today,Math,Finance,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Female
Electrical Engineering,3,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Blue prints and design drawings,By analyzing the internal components of the system,Listen,A week from now,Life Science,Software Development,The Internet,Work for a small company,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Health,A factory that is able to 100% rely on robotics while producing no defected products,People,No,Male
Electrical Engineering,2,Yes,"David Suzuki, Environmental Activist",In an office,Business Casual,Test results,By analyzing the internal components of the system,Talk,Five years from now,Physics,Research,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,Yes,Male
Electrical Engineering,3,Yes,"Warren Buffett, Billionaire American Business Men",In an office,Extremely Casual,Blue prints and design drawings,By analyzing the internal components of the system,Listen,A week from now,Technology,Manufacturing,The Robot,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A factory that is able to 100% rely on robotics while producing no defected products,People,Yes,Male
Electrical Engineering,2,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,One year from now,Technology,Manufacturing,The Robot,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Environment,A microchip that is smaller than usual but twice as powerful as before,People,No,Female
Electrical Engineering,2,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Write,A week from now,Technology,Research,The Internet,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A microchip that is smaller than usual but twice as powerful as before,Computers,No,Male
Electrical Engineering,2,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Graphs and charts,By analyzing the inputs and outputs of the system,Listen,A week from now,Technology,Manufacturing,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Environment,A factory that is able to 100% rely on robotics while producing no defected products,Machinery,No,Male
